barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
192369,null,1,S. Petty,,USA,Citrus Co.,Rosaceae,Agrimonia,null,null,20788,null,null,null,TRUE,3895,null,incisa,Torr. & A. Gray,null,North America,9/19/1987,Contact USF Herbarium if additional information is required,null,null,Flower,Fruit,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/192369.jpg
413,null,53951,R. K. Godfrey,"R. Kral, J. Gillespie",USA,null,Poaceae,Agrostis,null,null,42969,null,null,null,TRUE,3099,null,perennans,Walter,Tuck.,North America,10/1/1955,"Hamilton - Madison County: Shores of the Withlacoochee River, above Ellaville.",1982,Limestone ledges.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-84.6667,W,30.2333,N,https://cdn.plantatlas.org/img/specimens/USF/413.jpg
246541,null,2322,J. M. Kunzer,"A. Bard, S. Spaulding",USA,Polk Co.,Amaranthaceae,Alternanthera,null,null,30557,null,null,null,TRUE,1343,null,philoxeroides,Mart. ex J. C. Gomes f.,Griseb.,North America,4/3/2008,"C. 4.8 km SE of FL 471 bridge over the Withlacoochee River, ca. 1.5 km NNE of the junction of FL 471 and US 98.",null,Marshy area adjacent to Taxodium dome.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Colt Creek State Park,-82.0425,W,28.26777778,N,https://cdn.plantatlas.org/img/specimens/USF/246541.jpg
241847,null,13082,B. F. Hansen,,USA,Sumter Co.,Asteraceae,Ambrosia,null,null,7075,null,null,null,TRUE,3025,null,artemisiifolia,L.,null,North America,11/9/2005,"Ca. 1.5 mi. N of Croom.  T22S, R21E, Sec. 5, NE¼.",2005,Sandhill.,Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.2167,W,28.5833,N,https://cdn.plantatlas.org/img/specimens/USF/241847.jpg
15844,null,6999,G. R. Cooley,"R.J. Eaton, D.B. Ward",USA,Levy Co.,Asteraceae,Ambrosia,null,null,7051,null,null,null,TRUE,3025,null,artemisiifolia,L.,null,North America,9/16/1959,Second island off the mouth of the Withlacoochee River.,1990,null,Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/15844.jpg
216388,null,16436,S. L. Orzell,E.L. Bridges,USA,Sumter Co.,Lythraceae,Ammannia,null,null,85189,null,null,null,TRUE,3617,null,latifolia,L.,null,North America,4/29/1991,"N side of Center Grade Road, ca. 1.3 mi. E of junction FL 471, near Weeks Pond and N of Gator Hole Slough, ca. 7.7 mi. S of junction FL 50 at Tarrytown. T23S, R23E, Sec. 29, NW¼.",null,Wet marly pnie flatwoods and cypress [Taxodium] pond edges. Soils - Vero (Alfic Haplaquods).,Fertile,null,null,null,null,null,null,90,92,ft,FALSE,Withlacoochee State Forest,-82.03611111,W,28.45833333,N,https://cdn.plantatlas.org/img/specimens/USF/216388.jpg
300032,null,9205,"C. E. Wood, Jr.","K.A. Wilson, G.R. Cooley",USA,Levy Co.,Fabaceae,Amorpha,null,null,233802,null,null,null,TRUE,2056,null,fruticosa,L.,null,North America,5/4/1959,"Jones Creek, Withlacoochee Bay, WNW of Yankeetown.  T16S, R16E, Sec. 31, NW¼.",20-Mar-06,"Low limestone ""island"" in salt marsh; with Sabal, Juniperus, Persea, and Yucca.",Flower,null,null,null,null,"Shrub 6-8 ft. tall; petals very dark violet, anthers orange.",null,null,null,null,FALSE,null,-82.823055,W,29.031521,N,https://cdn.plantatlas.org/img/specimens/USF/300032.jpg
109321,null,61902,R. K. Godfrey,,USA,Levy Co.,Fabaceae,Amorpha,null,null,394,null,null,null,TRUE,2056,null,fruticosa,L.,null,North America,4/11/1962,"At the mouth of the Withlacoochee River, near Yankeetown.",1974,Palmetto hammock at river mouth.,Flower,null,null,null,null,Shrub ca. 3 m high.,null,null,null,null,FALSE,null,-82.823055,W,29.031521,N,https://cdn.plantatlas.org/img/specimens/USF/109321.jpg
105126,null,1887,P. Genelle,G. Fleming,USA,Citrus Co.,Fabaceae,Amorpha,null,null,420,herbacea,null,null,TRUE,3173,var.,herbacea,Walter,null,North America,5/27/1973,"Citrus section TR22, Dames Cave area.",1973,Shaded sandy.,Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.45,W,28.8667,N,https://cdn.plantatlas.org/img/specimens/USF/105126.jpg
253078,null,2533,J. M. Kunzer,"G. Dauphin, C. Eckert",USA,Polk Co.,Poaceae,Amphicarpum,null,null,45664,null,null,null,TRUE,3772,null,muehlenbergianum,Schult.,Hitchc.,North America,9/26/2008,"Ca. 2.5 km SSE of FL 471 bridge over the Withlacoochee River, ca. 5.1 km NNE of the junction of FL 471 and US 98.",null,Transition zone between flatwoods and cypress [Taxodium] swamp.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Colt Creek State Park,-82.04527778,W,28.29388889,N,https://cdn.plantatlas.org/img/specimens/USF/253078.jpg
